ID,Name,"QR Code","QR Code Link","Target ID","Cover Image",Prefilm,Video,"Added On","Played On","Sender Name","Sender Email","Created On"
33,,2ZNIE,http://golive.loc/assets/qrcodes/09bfe4db09045533ef15c09f551ba2e2.png,c811efdbe5fb4114a9d6fa23a099a384,http://golive.loc/assets/markers/Pab4GMZx_20140921112533.jpg,http://golive.loc/assets/videos/MxvFLcQt_20140921112533.mov,http://golive.loc/assets/videos/9DHcTHUK_20140921112942.mov,"2014-09-21 16:29:42",," ",,"2014-09-21 16:29:42"
40,,W0R1Z,http://golive.loc/assets/qrcodes/86e2e52247f7bdbe6adc4e1f9296593a.png,a2e202a670f64816bb7fa72f0a00f2b9,http://golive.loc/assets/markers/x9ZtP4Pf_20140922063527.png,http://golive.loc/assets/videos/uiMaOM6b_20140922063636.mov,http://golive.loc/assets/videos/,,," ",,"2014-09-22 11:09:35"
41,,W0R1Z,http://golive.loc/assets/qrcodes/86e2e52247f7bdbe6adc4e1f9296593a.png,2a609da47ae942398fb5fa6d2be6ef4a,http://golive.loc/assets/markers/HJtvIZhr_20140922062815.jpg,http://golive.loc/assets/videos/oHFPedrE_20140922060927.mov,http://golive.loc/assets/videos/,,," ",,"2014-09-22 11:28:19"
